INFO   | jvm 1    | 2013/07/09 15:47:00 | C:\CSIKI\PROGRAMING\Java\ProjectWaifu\Waifu\img\chatbubble.png
INFO   | jvm 1    | 2013/07/09 15:47:00 | builded
INFO   | jvm 1    | 2013/07/09 15:47:03 | [keyTyped]: 27
INFO   | jvm 1    | 2013/07/09 15:47:03 | [keyTyped]: 160
INFO   | jvm 1    | 2013/07/09 15:47:06 | started
INFO   | jvm 1    | 2013/07/09 15:47:11 | [keyTyped]: 87
INFO   | jvm 1    | 2013/07/09 15:47:22 | [keyTyped]: 164
INFO   | jvm 1    | 2013/07/09 15:47:22 | [keyTyped]: 9
STATUS | wrapper  | 2013/07/09 15:47:29 | <-- Wrapper Stopped
WARN   | wrapper  | 2013/07/09 15:50:12 | Unable to write to the configured log directory: ..\logs (A rendszer nem találja a megadott elérési utat. (0x3))
WARN   | wrapper  | 2013/07/09 15:50:12 |   The directory does not exist.
WARN   | wrapper  | 2013/07/09 15:50:12 | Unable to write to the configured log file: ..\logs\wrapper.log (A rendszer nem találja a megadott elérési utat. (0x3))
WARN   | wrapper  | 2013/07/09 15:50:12 |   Falling back to the default file in the current working directory: wrapper.log
STATUS | wrapper  | 2013/07/09 15:50:12 | --> Wrapper Started as Console
STATUS | wrapper  | 2013/07/09 15:50:12 | Java Service Wrapper Community Edition 64-bit 3.5.7
STATUS | wrapper  | 2013/07/09 15:50:12 |   Copyright (C) 1999-2010 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2013/07/09 15:50:12 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2013/07/09 15:50:12 | 
STATUS | wrapper  | 2013/07/09 15:50:12 | Launching a JVM...
INFO   | jvm 1    | 2013/07/09 15:50:12 | WrapperManager: Initializing...
INFO   | jvm 1    | 2013/07/09 15:50:12 | C:\CSIKI\PROGRAMING\Java\ProjectWaifu\Waifu\img\chatbubble.png
INFO   | jvm 1    | 2013/07/09 15:50:13 | builded
INFO   | jvm 1    | 2013/07/09 15:50:16 | [keyTyped]: 27
INFO   | jvm 1    | 2013/07/09 15:50:16 | [keyTyped]: 160
INFO   | jvm 1    | 2013/07/09 15:50:18 | started
INFO   | jvm 1    | 2013/07/09 15:50:28 | [keyTyped]: 161
INFO   | jvm 1    | 2013/07/09 15:50:28 | [keyTyped]: 87
INFO   | jvm 1    | 2013/07/09 15:50:28 | [keyTyped]: 65
INFO   | jvm 1    | 2013/07/09 15:50:29 | [keyTyped]: 73
INFO   | jvm 1    | 2013/07/09 15:50:29 | [keyTyped]: 70
INFO   | jvm 1    | 2013/07/09 15:50:29 | [keyTyped]: 85
INFO   | jvm 1    | 2013/07/09 15:50:29 | [keyTyped]: 83
INFO   | jvm 1    | 2013/07/09 15:50:34 | [keyTyped]: 164
INFO   | jvm 1    | 2013/07/09 15:50:34 | [keyTyped]: 9
INFO   | jvm 1    | 2013/07/09 15:50:35 | [keyTyped]: 164
